RUN	perf.TestSimulation	testsimulation	1707067935604	 	3.0.3
REQUEST	11	signoff	/cgi-bin/nav.pl	1707068095655	1707068096242	OK	 
GROUP	12	ticketattributes	1707068095318	1707068096608	279	OK
REQUEST	12	Itinerary	/cgi-bin/welcome.pl	1707068096609	1707068096756	OK	 
REQUEST	12	Itinerary	/cgi-bin/nav.pl	1707068096758	1707068097233	OK	 
GROUP	11	signoff	1707068095534	1707068097246	705	OK
USER	mainScenario	11	END	1707068082288	1707068097246
REQUEST	12	Itinerary	/cgi-bin/itinerary.pl	1707068097235	1707068098938	OK	 
USER	mainScenario	13	START	1707068099288	1707068099288
REQUEST	13	open	/webtours/	1707068099289	1707068099350	OK	 
REQUEST	13	open	/cgi-bin/welcome.pl	1707068099351	1707068099517	OK	 
REQUEST	13	open	/cgi-bin/nav.pll	1707068099519	1707068099620	OK	 
GROUP	12	Itinerary	1707068096608	1707068099938	2325	OK
REQUEST	12	signoff	/cgi-bin/welcome.pl	1707068099939	1707068100546	OK	 
GROUP	13	open	1707068099289	1707068100638	328	OK
REQUEST	12	signoff	/cgi-bin/nav.pl	1707068100547	1707068100645	OK	 
REQUEST	13	login	/cgi-bin/login.pl	1707068100640	1707068100748	OK	 
REQUEST	13	login	/cgi-bin/login.pl	1707068100750	1707068101135	OK	 
REQUEST	13	login	/cgi-bin/nav.pll	1707068101137	1707068101263	OK	 
GROUP	12	signoff	1707068099938	1707068101641	705	OK
USER	mainScenario	12	END	1707068091288	1707068101641
GROUP	13	login	1707068100638	1707068102257	619	OK
REQUEST	13	openflights	/cgi-bin/welcome.pl	1707068102257	1707068102385	OK	 
REQUEST	13	openflights	/cgi-bin/reservations.pl	1707068102387	1707068102486	OK	 
REQUEST	13	openflights	/cgi-bin/nav.pl	1707068102488	1707068102587	OK	 
GROUP	13	openflights	1707068102257	1707068103588	326	OK
REQUEST	13	ticketattributes	/cgi-bin/reservations.pl	1707068103589	1707068103731	OK	 
REQUEST	13	ticketattributes	/cgi-bin/reservations.pl	1707068103733	1707068103821	OK	 
REQUEST	13	ticketattributes	/cgi-bin/reservations.pl	1707068103823	1707068104026	OK	 
